股票代码,股票名称,行业,细分赛道,标签,月涨幅(%),年涨幅(%),spot_error,快照时间,现价,涨幅,周转率,成交额,成交额_亿元,流通市值_亿元,总市值_亿元,市盈率_TTM,市净率,股息率_TTM,52周最高,52周最低,daily_error,financial_error,60日涨幅,120日涨幅,信号价,MA5,MA10,MA20,MA60,MA120,20日回撤,毛利率,ROE,营收同比,归母净利润同比,月涨幅分位,年涨幅分位,换手率分位,成交额分位,60日涨幅分位,120日涨幅分位,52周位置,距52周高点比例,基本面打分,基本面依据,短期走势打分,短期依据,中期走势打分,中期依据,综合打分,综合排名
688041,海光信息,芯片智造,AI算力芯片,行业龙头、产能领先、国产替代,112.6,200.3,"ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'xueqiu.com\', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1089d1360>: Failed to resolve \'xueqiu.com\' ([Errno 8] nodename nor servname provided, or not known)""))'))",,,,,,,,,,,,,,"ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'finance.sina.com.cn\', port=443): Max retries exceeded with url: /realstock/company/sh688041/hisdata_klc2/klc_kl.js (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1089d0a30>: Failed to resolve \'finance.sina.com.cn\' ([Errno 8] nodename nor servname provided, or not known)""))'))","ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'basic.10jqka.com.cn\', port=443): Max retries exceeded with url: /basicapi/finance/index/v1/app_data/?code=688041&id=client_stock_importance&market=17&type=stock&page=1&size=50&period=0 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1089d31c0>: Failed to resolve \'basic.10jqka.com.cn\' ([Errno 8] nodename nor servname provided, or not known)""))'))",,,,,,,,,,,,,,0.9844961240310077,1.0,0.5,0.5,0.5,0.5,,,37.0,AI算力芯片、行业龙头、龙头、产能领先、国产替代；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率nan%，竞争压力较大；ROE nan%偏低；营收同比nan%；利润同比nan%,44.7,月涨幅分位98%；换手率缺失；成交额缺失,22.5,60日涨幅分位50%；52周位置缺失；20日回撤缺失,35.0,1
002281,光迅科技,光模块,硅光模块、高速光芯片、光纤光缆,国家队龙头、全产业链、双轨覆盖、技术储备,120.5,185.6,"ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'xueqiu.com\', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1089aae60>: Failed to resolve \'xueqiu.com\' ([Errno 8] nodename nor servname provided, or not known)""))'))",,,,,,,,,,,,,,"ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'finance.sina.com.cn\', port=443): Max retries exceeded with url: /realstock/company/sz002281/hisdata_klc2/klc_kl.js (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1089aad70>: Failed to resolve \'finance.sina.com.cn\' ([Errno 8] nodename nor servname provided, or not known)""))'))","ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'basic.10jqka.com.cn\', port=443): Max retries exceeded with url: /basicapi/finance/index/v1/app_data/?code=002281&id=client_stock_importance&market=33&type=stock&page=1&size=50&period=0 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x103e6a7d0>: Failed to resolve \'basic.10jqka.com.cn\' ([Errno 8] nodename nor servname provided, or not known)""))'))",,,,,,,,,,,,,,0.9922480620155039,0.9844961240310077,0.5,0.5,0.5,0.5,,,37.0,硅光模块、高速光芯片、光纤光缆、国家队龙头、龙头、全产业链；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率nan%，竞争压力较大；ROE nan%偏低；营收同比nan%；利润同比nan%,44.7,月涨幅分位99%；换手率缺失；成交额缺失,22.5,60日涨幅分位50%；52周位置缺失；20日回撤缺失,35.0,1
688498,源杰科技,光模块,高速光芯片,光芯片龙头、EML量产、技术壁垒、国产核心,130.2,195.6,"ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'xueqiu.com\', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1089d2ad0>: Failed to resolve \'xueqiu.com\' ([Errno 8] nodename nor servname provided, or not known)""))'))",,,,,,,,,,,,,,"ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'finance.sina.com.cn\', port=443): Max retries exceeded with url: /realstock/company/sh688498/hisdata_klc2/klc_kl.js (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1089d1fc0>: Failed to resolve \'finance.sina.com.cn\' ([Errno 8] nodename nor servname provided, or not known)""))'))","ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'basic.10jqka.com.cn\', port=443): Max retries exceeded with url: /basicapi/finance/index/v1/app_data/?code=688498&id=client_stock_importance&market=17&type=stock&page=1&size=50&period=0 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1089d3790>: Failed to resolve \'basic.10jqka.com.cn\' ([Errno 8] nodename nor servname provided, or not known)""))'))",,,,,,,,,,,,,,1.0,0.9922480620155039,0.5,0.5,0.5,0.5,,,37.0,高速光芯片、龙头、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率nan%，竞争压力较大；ROE nan%偏低；营收同比nan%；利润同比nan%,44.9,月涨幅分位100%；换手率缺失；成交额缺失,22.5,60日涨幅分位50%；52周位置缺失；20日回撤缺失,35.0,1
688008,澜起科技,芯片智造,存储芯片,内存接口龙头、技术标杆,111.9,180.3,"ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'xueqiu.com\', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x108935c90>: Failed to resolve \'xueqiu.com\' ([Errno 8] nodename nor servname provided, or not known)""))'))",,,,,,,,,,,,,,"ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'finance.sina.com.cn\', port=443): Max retries exceeded with url: /realstock/company/sh688008/hisdata_klc2/klc_kl.js (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1089342e0>: Failed to resolve \'finance.sina.com.cn\' ([Errno 8] nodename nor servname provided, or not known)""))'))","ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'basic.10jqka.com.cn\', port=443): Max retries exceeded with url: /basicapi/finance/index/v1/app_data/?code=688008&id=client_stock_importance&market=17&type=stock&page=1&size=50&period=0 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1089af130>: Failed to resolve \'basic.10jqka.com.cn\' ([Errno 8] nodename nor servname provided, or not known)""))'))",,,,,,,,,,,,,,0.9767441860465116,0.9767441860465116,0.5,0.5,0.5,0.5,,,37.0,存储芯片、龙头、技术标杆；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率nan%，竞争压力较大；ROE nan%偏低；营收同比nan%；利润同比nan%,44.3,月涨幅分位98%；换手率缺失；成交额缺失,22.5,60日涨幅分位50%；52周位置缺失；20日回撤缺失,34.8,4
300394,天孚通信,光模块,CPO光引擎,CPO龙头、封装核心、绑定头部、高毛利,110.3,175.2,"ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'xueqiu.com\', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1089af0d0>: Failed to resolve \'xueqiu.com\' ([Errno 8] nodename nor servname provided, or not known)""))'))",,,,,,,,,,,,,,"ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'finance.sina.com.cn\', port=443): Max retries exceeded with url: /realstock/company/sz300394/hisdata_klc2/klc_kl.js (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1089a9a20>: Failed to resolve \'finance.sina.com.cn\' ([Errno 8] nodename nor servname provided, or not known)""))'))","ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'basic.10jqka.com.cn\', port=443): Max retries exceeded with url: /basicapi/finance/index/v1/app_data/?code=300394&id=client_stock_importance&market=33&type=stock&page=1&size=50&period=0 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1089d0d00>: Failed to resolve \'basic.10jqka.com.cn\' ([Errno 8] nodename nor servname provided, or not known)""))'))",,,,,,,,,,,,,,0.9689922480620154,0.9612403100775194,0.5,0.5,0.5,0.5,,,37.0,CPO光引擎、龙头、高毛利、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率nan%，竞争压力较大；ROE nan%偏低；营收同比nan%；利润同比nan%,44.0,月涨幅分位97%；换手率缺失；成交额缺失,22.5,60日涨幅分位50%；52周位置缺失；20日回撤缺失,34.8,4
300308,中际旭创,光模块,高速光模块、硅光模块、LPO模块、CPO光引擎,全球龙头、英伟达核心、技术标杆、机构重仓,107.7,180.2,"ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'xueqiu.com\', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1089344f0>: Failed to resolve \'xueqiu.com\' ([Errno 8] nodename nor servname provided, or not known)""))'))",,,,,,,,,,,,,,"ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'finance.sina.com.cn\', port=443): Max retries exceeded with url: /realstock/company/sz300308/hisdata_klc2/klc_kl.js (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x108935ff0>: Failed to resolve \'finance.sina.com.cn\' ([Errno 8] nodename nor servname provided, or not known)""))'))","ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'basic.10jqka.com.cn\', port=443): Max retries exceeded with url: /basicapi/finance/index/v1/app_data/?code=300308&id=client_stock_importance&market=33&type=stock&page=1&size=50&period=0 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x108a7a530>: Failed to resolve \'basic.10jqka.com.cn\' ([Errno 8] nodename nor servname provided, or not known)""))'))",,,,,,,,,,,,,,0.9612403100775194,0.9689922480620154,0.5,0.5,0.5,0.5,,,37.0,CPO光引擎、高速光模块、硅光模块、全球龙头、龙头、技术标杆、机构重仓、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率nan%，竞争压力较大；ROE nan%偏低；营收同比nan%；利润同比nan%,43.9,月涨幅分位96%；换手率缺失；成交额缺失,22.5,60日涨幅分位50%；52周位置缺失；20日回撤缺失,34.7,6
688234,天岳先进,芯片智造,碳化硅基板,碳化硅衬底龙头、技术壁垒高、产能领先、核心供应商,100.2,150.3,"ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'xueqiu.com\', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1089a8130>: Failed to resolve \'xueqiu.com\' ([Errno 8] nodename nor servname provided, or not known)""))'))",,,,,,,,,,,,,,"ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'finance.sina.com.cn\', port=443): Max retries exceeded with url: /realstock/company/sh688234/hisdata_klc2/klc_kl.js (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x108a4a080>: Failed to resolve \'finance.sina.com.cn\' ([Errno 8] nodename nor servname provided, or not known)""))'))","ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'basic.10jqka.com.cn\', port=443): Max retries exceeded with url: /basicapi/finance/index/v1/app_data/?code=688234&id=client_stock_importance&market=17&type=stock&page=1&size=50&period=0 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1089a8d30>: Failed to resolve \'basic.10jqka.com.cn\' ([Errno 8] nodename nor servname provided, or not known)""))'))",,,,,,,,,,,,,,0.9496124031007752,0.9186046511627907,0.5,0.5,0.5,0.5,,,37.0,碳化硅基板、龙头、技术壁垒高、产能领先、核心供应商、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率nan%，竞争压力较大；ROE nan%偏低；营收同比nan%；利润同比nan%,43.2,月涨幅分位95%；换手率缺失；成交额缺失,22.5,60日涨幅分位50%；52周位置缺失；20日回撤缺失,34.5,7
300502,新易盛,光模块,高速光模块、LPO模块、硅光模块,全球第二、北美核心、LPO标杆、高毛利,98.3,150.6,"ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'xueqiu.com\', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1089ac760>: Failed to resolve \'xueqiu.com\' ([Errno 8] nodename nor servname provided, or not known)""))'))",,,,,,,,,,,,,,"ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'finance.sina.com.cn\', port=443): Max retries exceeded with url: /realstock/company/sz300502/hisdata_klc2/klc_kl.js (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x108937be0>: Failed to resolve \'finance.sina.com.cn\' ([Errno 8] nodename nor servname provided, or not known)""))'))","ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'basic.10jqka.com.cn\', port=443): Max retries exceeded with url: /basicapi/finance/index/v1/app_data/?code=300502&id=client_stock_importance&market=33&type=stock&page=1&size=50&period=0 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x108a78340>: Failed to resolve \'basic.10jqka.com.cn\' ([Errno 8] nodename nor servname provided, or not known)""))'))",,,,,,,,,,,,,,0.937984496124031,0.9341085271317829,0.5,0.5,0.5,0.5,,,37.0,高速光模块、硅光模块、高毛利、核心；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率nan%，竞争压力较大；ROE nan%偏低；营收同比nan%；利润同比nan%,43.1,月涨幅分位94%；换手率缺失；成交额缺失,22.5,60日涨幅分位50%；52周位置缺失；20日回撤缺失,34.5,7
603773,沃格光电,芯片智造,玻璃基板,光电玻璃龙头、技术壁垒高、产能领先,90.2,155.3,"ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'xueqiu.com\', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1089d3190>: Failed to resolve \'xueqiu.com\' ([Errno 8] nodename nor servname provided, or not known)""))'))",,,,,,,,,,,,,,"ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'finance.sina.com.cn\', port=443): Max retries exceeded with url: /realstock/company/sh603773/hisdata_klc2/klc_kl.js (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x108a79900>: Failed to resolve \'finance.sina.com.cn\' ([Errno 8] nodename nor servname provided, or not known)""))'))","ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'basic.10jqka.com.cn\', port=443): Max retries exceeded with url: /basicapi/finance/index/v1/app_data/?code=603773&id=client_stock_importance&market=17&type=stock&page=1&size=50&period=0 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x108a796c0>: Failed to resolve \'basic.10jqka.com.cn\' ([Errno 8] nodename nor servname provided, or not known)""))'))",,,,,,,,,,,,,,0.8953488372093024,0.9457364341085271,0.5,0.5,0.5,0.5,,,37.0,龙头、技术壁垒高、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率nan%，竞争压力较大；ROE nan%偏低；营收同比nan%；利润同比nan%,42.4,月涨幅分位90%；换手率缺失；成交额缺失,22.5,60日涨幅分位50%；52周位置缺失；20日回撤缺失,34.3,9
002916,深南电路,芯片智造,PCB、ABF载板,封装基板龙头、国内PCB龙头、产能领先,90.2,150.3,"ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'xueqiu.com\', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1089d2950>: Failed to resolve \'xueqiu.com\' ([Errno 8] nodename nor servname provided, or not known)""))'))",,,,,,,,,,,,,,"ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'finance.sina.com.cn\', port=443): Max retries exceeded with url: /realstock/company/sz002916/hisdata_klc2/klc_kl.js (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x1089d3df0>: Failed to resolve \'finance.sina.com.cn\' ([Errno 8] nodename nor servname provided, or not known)""))'))","ConnectionError(MaxRetryError('HTTPSConnectionPool(host=\'basic.10jqka.com.cn\', port=443): Max retries exceeded with url: /basicapi/finance/index/v1/app_data/?code=002916&id=client_stock_importance&market=33&type=stock&page=1&size=50&period=0 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x108a78220>: Failed to resolve \'basic.10jqka.com.cn\' ([Errno 8] nodename nor servname provided, or not known)""))'))",,,,,,,,,,,,,,0.8953488372093024,0.9186046511627907,0.5,0.5,0.5,0.5,,,37.0,ABF载板、PCB、龙头、产能领先；缺少总市值数据，按中性处理；PE不可用或为负，估值可信度较低；毛利率nan%，竞争压力较大；ROE nan%偏低；营收同比nan%；利润同比nan%,42.1,月涨幅分位90%；换手率缺失；成交额缺失,22.5,60日涨幅分位50%；52周位置缺失；20日回撤缺失,34.2,10
